,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,power,growth,MAPE,period_AE
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,additive,additive,na,linear,41.94,53.68000000000001
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,additive,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,additive,na,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,na,na,linear,41.75,53.39
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,additive,additive,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,additive,na,linear,41.94,53.68000000000001
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,na,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,additive,na,na,linear,41.94,53.68000000000001
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,additive,additive,na,linear,41.94,53.68000000000001
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,additive,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,42.16,54.16
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,additive,na,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,additive,additive,na,logistic,97.3,97.84
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,additive,na,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,additive,additive,na,linear,41.64,53.36
