,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,default,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,default,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,default,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,logistic,19.23,2.6
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,8.74,6.76
0,US,Google AdWords,Brand,183,0.1,10.0,0.01,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,10.12,2.4899999999999998
0,US,Google AdWords,Brand,183,0.1,10.0,0.01,multiplicative,multiplicative,na,default,na,na,na,na,na,na,na,linear,10.12,2.4899999999999998
0,US,Google AdWords,Brand,183,0.1,10.0,0.01,multiplicative,multiplicative,na,customized,na,na,na,na,na,na,na,linear,10.12,2.4899999999999998
0,US,Google AdWords,Competitor,183,0.1,0.1,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,19.23,2.6
