,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,linear,51.07,61.45
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,linear,45.82,57.32000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,logistic,52.95,63.82
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,46.39,59.72
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,custom,False,na,na,na,na,na,na,linear,48.49,57.47
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,linear,55.66,62.980000000000004
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,custom,False,na,na,na,na,na,na,logistic,63.17,48.06
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,logistic,360.8,64.75999999999999
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,linear,48.8,59.13
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,logistic,363.46,66.95
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,na,na,na,linear,81.21,83.41
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,custom,False,na,na,na,na,na,na,linear,64.98,50.99
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,custom,False,na,na,na,na,na,na,logistic,380.3,70.41
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,na,na,na,logistic,52.99,63.89
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,na,na,na,logistic,45.29,60.35
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,na,na,na,linear,74.7,80.21000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,False,na,na,na,na,na,na,linear,75.52,81.8
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,na,na,na,linear,68.98,73.24000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,na,na,na,logistic,87.05,53.93
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,False,na,na,na,na,na,na,logistic,63.56,47.8
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,na,na,na,linear,52.08,66.28
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,na,na,na,logistic,97.54,48.17
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,custom,False,na,na,na,na,na,na,linear,45.32,65.75999999999999
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,na,na,na,linear,72.55,82.98
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,custom,False,na,na,na,na,na,na,logistic,102.01,33.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,na,na,na,linear,54.91,76.34
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,na,na,na,logistic,439.64,78.47
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,na,na,na,logistic,450.3,82.27
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,False,na,na,na,na,na,na,linear,51.07,78.68
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,False,na,na,na,na,na,na,linear,79.08,83.28999999999999
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,False,na,na,na,na,na,na,logistic,87.03,53.949999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,False,na,na,na,na,na,na,logistic,454.54,87.57000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,77.33,82.35
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,default,False,na,na,na,na,na,na,logistic,96.17,48.63
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,na,na,na,linear,79.68,82.37
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,False,na,na,na,na,na,na,linear,70.44,80.31
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,False,na,na,na,na,na,na,logistic,101.55,33.42
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,na,na,na,logistic,95.77,87.74
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,na,na,na,linear,86.3,88.51
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,na,na,na,logistic,95.77,87.72999999999999
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,custom,False,na,na,na,na,na,na,linear,86.74,88.74
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,na,na,na,linear,66.36,77.39
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,na,custom,False,na,na,na,na,na,na,logistic,95.77,87.74
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,na,na,na,logistic,95.43,86.88
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,na,na,na,linear,75.37,84.11
